,name,scores_avg
389,Another World: 20th Anniversary Edition,73.0
390,Ant Nation,52.0
391,Anthem,59.333333333333336
392,Antichamber,82.0
393,Antigraviator,65.0
394,Antihero,81.0
395,Antipole,76.0
396,Aokana - Four Rhythms Across the Blue,78.0
397,Apache: Air Assault,66.66666666666667
398,Ape Escape 3,77.0
399,Ape Escape Academy,51.0
400,Ape Escape: On the Loose,66.0
401,Ape Out,83.5
402,Apex Construct,72.0
403,Apex Legends,79.75
404,Apocalipsis,73.0
405,Apollo Justice: Ace Attorney,77.5
406,Aporia: Beyond The Valley,71.0
407,Apotheon,77.0
408,Aqua,61.0
409,Aqua Kitty UDX,74.0
410,Aqua Moto Racing 3D,52.0
411,Aqua Teen Hunger Force Zombie Ninja Pro-Am,37.0
412,AquaPazza: AquaPlus Dream Match,75.0
413,Aquanox Deep Descent,65.0
414,Aquaria,82.0
415,Ar nosurge Plus: Ode to an Unborn Star,77.0
416,Ar nosurge: Ode to an Unborn Star,67.0
417,Ar tonelico II: Melody of Metafalica,71.0
418,Ar tonelico Qoga: Knell of Ar Ciel,61.0
419,Ar tonelico: Melody of Elemia,71.0
420,Aragami,71.0
421,Aragami 2,64.5
422,Aragami: Shadow Edition,77.0
423,Arc Rise Fantasia,64.0
424,Arc of Alchemist,41.0
425,Arc the Lad: End of Darkness,59.0
426,Arca's Path VR,70.0
427,Arcade Classics Anniversary Collection,62.0
428,Arcade Darts,62.0
429,Arcade Spirits,75.33333333333333
430,Arcade Sports,46.0
431,Arcana Heart,77.0
432,Arcana Heart 3,73.0
433,Arcana Heart 3: LOVE MAX!!!!!,68.0
434,Arcania: Fall of Setarrif,41.0
435,Arcania: Gothic 4,63.5
436,Arcania: The Complete Tale,42.0
437,ArchLord,42.0
438,Archangel,69.0
439,Archangel: Hellfire,79.0
440,ArcheAge,80.0
441,Archer Maclean's Mercury,75.0
442,Archvale,82.0
443,Area 51,71.33333333333333
444,Arena Football,65.5
445,Arena Football: Road to Glory,62.0
446,Arena of Valor,79.0
447,Argonus and the Gods of Stone,68.0
